2022-06-27 13:25:43,793-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:25:47,148-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:25:50,507-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:25:53,978-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:25:57,354-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:00,699-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:04,052-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:07,409-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:10,763-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:14,136-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:17,998-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:21,761-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:26,081-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:29,805-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:33,921-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:37,316-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:40,799-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:45,014-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:48,942-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:52,699-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:26:56,613-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:00,282-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:04,016-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:07,765-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:11,623-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:15,313-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:19,166-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:23,009-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:26,783-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:30,340-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:33,866-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:37,840-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:41,894-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:45,831-root-INFO-Production : 1 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:50,993-root-INFO-Production : 2 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:54,622-root-INFO-Production : 2 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:27:58,634-root-INFO-Production : 2 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:28:02,736-root-INFO-Production : 2 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:28:06,762-root-INFO-Production : 2 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:28:11,338-root-INFO-Production : 2 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:28:15,358-root-INFO-Production : 2 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:28:18,852-root-INFO-Production : 2 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:28:23,161-root-INFO-Production : 2 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:28:51,460-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:28:56,056-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:29:00,065-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:29:04,394-root-INFO-Production : 0 | Temperature : 0.0 | Vibration : 0.00
2022-06-27 13:29:21,198-root-INFO-Production : 0 | Temperature : 27.1 | Vibration : 0.07
2022-06-27 13:29:27,629-root-INFO-Production : 0 | Temperature : 27.1 | Vibration : 0.06
2022-06-27 13:29:34,089-root-INFO-Production : 0 | Temperature : 27.2 | Vibration : 0.06
2022-06-27 13:29:40,136-root-INFO-Production : 0 | Temperature : 27.1 | Vibration : 0.06
2022-06-27 13:29:46,872-root-INFO-Production : 0 | Temperature : 27.1 | Vibration : 0.07
